covariate,coef,penalized
GENDER_MALE,0.0,False
AGE,-0.1622461027640135,False
PANEL_VERSION_p2,0.28200634058162666,False
PANEL_VERSION_p3,0.0,False
PANEL_VERSION_p3.1,-1.1616559063904355,False
PC1,0.0,False
PC2,0.0,False
PC3,-0.030559176491144285,False
PC4,0.0,False
PC5,0.0,False
Mutation_burden,0.0,True
Mutation_burden:KRAS,0.0,True
Mutation_burden:TET2,0.0,True
Mutation_burden:EGFR,0.0,True
Mutation_burden:DNMT3A,0.0,True
Mutation_burden:NOTCH1,0.0,True
Mutation_burden:ASXL1,0.0,True
Mutation_burden:PDGFRA,-0.021209148537723328,True
Mutation_burden:U2AF1,0.04765556980591504,True
Mutation_burden:IKZF1,0.0,True
Mutation_burden:TERT,0.0,True
Mutation_burden:TP53,-0.05408177715549211,True
Mutation_burden:ATM,0.0,True
Mutation_burden:CUX1,0.0,True
Mutation_burden:GNAS,0.0,True
Mutation_burden:CREBBP,0.0,True
Mutation_burden:FLT3,0.0,True
Mutation_burden:ABL1,0.0,True
Mutation_burden:SF3B1,0.0,True
Mutation_burden:FBXW7,0.0,True
Mutation_burden:SETD2,0.0,True
Mutation_burden:JAK3,0.0,True
Mutation_burden:WT1,0.0,True
Mutation_burden:EP300,0.0,True
Mutation_burden:CDK12,0.0,True
Mutation_burden:CBL,0.0,True
Mutation_burden:ERBB2,0.0,True
Mutation_burden:H19,0.0,True
Mutation_burden:BRCA2,0.0,True
Mutation_burden:GLI1,0.0,True
Mutation_burden:BRAF,0.0,True
Mutation_burden:MET,0.0,True
Mutation_burden:IGF1R,0.0,True
Mutation_burden:KIT,0.0,True
Mutation_burden:PIK3CA,0.0,True
Mutation_burden:PIK3C2B,0.0,True
Mutation_burden:CSF3R,0.0,True
Mutation_burden:KDR,0.0,True
Mutation_burden:SDHA,0.0,True
Mutation_burden:KAT6A,0.0,True
Mutation_burden:ZNF217,0.0,True
Mutation_burden:FGFR1,0.0,True
Mutation_burden:NOTCH2,0.0,True
Mutation_burden:NF1,0.0,True
Mutation_burden:CTNNB1,0.0,True
Mutation_burden:JAK2,0.0,True
Mutation_burden:TRIM37,0.0,True
Mutation_burden:CDH4,0.0,True
Mutation_burden:PTEN,-0.019223669827149355,True
Mutation_burden:IL7R,0.0,True
Mutation_burden:GATA3,0.0,True
Mutation_burden:SOS1,0.0,True
Mutation_burden:ERBB3,0.0,True
Mutation_burden:ALK,0.0,True
Mutation_burden:MECOM,0.0,True
Mutation_burden:LIG4,0.0,True
Mutation_burden:RAD54B,0.0,True
Mutation_burden:ARID2,-0.04124832447172392,True
Mutation_burden:KMT2A,0.0,True
Mutation_burden:EXT1,0.0,True
Mutation_burden:PRKDC,0.0,True
Mutation_burden:POLQ,0.0,True
Mutation_burden:NOTCH3,0.0,True
Mutation_burden:POLE,0.0,True
Mutation_burden:RET,0.0,True
Mutation_burden:SETBP1,0.0,True
Mutation_burden:ERCC4,0.0,True
Mutation_burden:CIC,0.0,True
Mutation_burden:NTRK2,0.0,True
Mutation_burden:CBLB,0.0,True
Mutation_burden:ERCC6,0.0,True
Mutation_burden:KDM5A,0.0,True
Mutation_burden:PMS2,0.0,True
Mutation_burden:FLT1,-0.002892842239835186,True
Mutation_burden:DOCK8,0.0,True
Mutation_burden:SMARCA4,0.0,True
Mutation_burden:RUNX1T1,0.0,True
Mutation_burden:SLX4,0.0,True
Mutation_burden:BRIP1,0.0,True
Mutation_burden:PRSS1,0.0,True
Mutation_burden:NRG1,0.0,True
Mutation_burden:RECQL4,0.0,True
Mutation_burden:FAT1,0.0,True
Mutation_burden:PTPN14,0.0,True
Mutation_burden:CARD11,0.0,True
Mutation_burden:ETV1,0.0,True
Mutation_burden:KAT6B,0.0,True
Mutation_burden:CDKN2A,0.0,True
Mutation_burden:KMT2D,0.0,True
Mutation_burden:KIF1B,0.0,True
Mutation_burden:POLD1,0.0,True
Mutation_burden:NTRK1,0.0,True
Mutation_burden:RICTOR,0.0,True
Mutation_burden:TSHR,0.0,True
Mutation_burden:DIS3,0.0,True
Mutation_burden:MTOR,0.0,True
Mutation_burden:CIITA,0.0,True
Mutation_burden:PALB2,0.0,True
Mutation_burden:ARHGAP35,0.0,True
Mutation_burden:ARHGEF12,0.0,True
Mutation_burden:ATR,0.0,True
Mutation_burden:RNF43,0.0,True
Mutation_burden:MAP3K1,0.0,True
Mutation_burden:ARID1A,0.0,True
Mutation_burden:TET1,0.0,True
Mutation_burden:RPTOR,0.0,True
Mutation_burden:PAXIP1,0.0,True
Mutation_burden:ERCC5,0.0,True
Mutation_burden:ARID1B,0.0,True
Mutation_burden:PML,0.0,True
Mutation_burden:NFE2L2,0.0,True
Mutation_burden:KEAP1,0.0,True
Mutation_burden:ERCC2,0.0,True
Mutation_burden:TSC1,0.0,True
Mutation_burden:ERBB4,0.0,True
Mutation_burden:NSD1,0.0,True
Mutation_burden:SMAD4,0.0,True
Mutation_burden:DICER1,0.0,True
Mutation_burden:AXL,0.017648932979123705,True
Mutation_burden:FANCD2,0.0,True
Mutation_burden:AXIN2,0.0,True
Mutation_burden:WHSC1,0.0,True
Mutation_burden:FGFR3,0.0,True
Mutation_burden:BRCA1,0.0,True
Mutation_burden:EXO1,0.0,True
Mutation_burden:MTA1,0.0,True
Mutation_burden:ROS1,0.0,True
Mutation_burden:PDGFRB,0.0,True
Mutation_burden:DAXX,0.0,True
Mutation_burden:MSH6,0.0,True
Mutation_burden:COL7A1,0.0,True
Mutation_burden:PARK2,0.0,True
